2022-05-17 22:35:57 install libgeoip1:amd64 <none> 1.6.12-7
2022-05-17 22:35:57 status half-installed libgeoip1:amd64 1.6.12-7
2022-05-17 22:35:57 status unpacked libgeoip1:amd64 1.6.12-7
2022-05-17 22:35:57 install libicu67:amd64 <none> 67.1-7
2022-05-17 22:35:57 status half-installed libicu67:amd64 67.1-7
2022-05-17 22:35:57 status unpacked libicu67:amd64 67.1-7
2022-05-17 22:35:57 install libxml2:amd64 <none> 2.9.10+dfsg-6.7+deb11u1
2022-05-17 22:35:57 status half-installed libxml2:amd64 2.9.10+dfsg-6.7+deb11u1
2022-05-17 22:35:57 status unpacked libxml2:amd64 2.9.10+dfsg-6.7+deb11u1
2022-05-17 22:35:57 install libxslt1.1:amd64 <none> 1.1.34-4
2022-05-17 22:35:57 status half-installed libxslt1.1:amd64 1.1.34-4
2022-05-17 22:35:57 status unpacked libxslt1.1:amd64 1.1.34-4
2022-05-17 22:35:58 install nginx:amd64 <none> 1.21.6-1~bullseye
2022-05-17 22:35:58 status half-installed nginx:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 status unpacked nginx:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 install nginx-module-geoip:amd64 <none> 1.21.6-1~bullseye
2022-05-17 22:35:58 status half-installed nginx-module-geoip:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 status unpacked nginx-module-geoip:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 install nginx-module-image-filter:amd64 <none> 1.21.6-1~bullseye
2022-05-17 22:35:58 status half-installed nginx-module-image-filter:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 status unpacked nginx-module-image-filter:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 install nginx-module-njs:amd64 <none> 1.21.6+0.7.3-1~bullseye
2022-05-17 22:35:58 status half-installed nginx-module-njs:amd64 1.21.6+0.7.3-1~bullseye
2022-05-17 22:35:58 status unpacked nginx-module-njs:amd64 1.21.6+0.7.3-1~bullseye
2022-05-17 22:35:58 install nginx-module-xslt:amd64 <none> 1.21.6-1~bullseye
2022-05-17 22:35:58 status half-installed nginx-module-xslt:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 status unpacked nginx-module-xslt:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 startup packages configure
2022-05-17 22:35:58 configure libexpat1:amd64 2.2.10-2+deb11u3 <none>
2022-05-17 22:35:58 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-05-17 22:35:58 status half-configured libexpat1:amd64 2.2.10-2+deb11u3
2022-05-17 22:35:58 status installed libexpat1:amd64 2.2.10-2+deb11u3
2022-05-17 22:35:58 configure libxau6:amd64 1:1.0.9-1 <none>
2022-05-17 22:35:58 status unpacked libxau6:amd64 1:1.0.9-1
2022-05-17 22:35:58 status half-configured libxau6:amd64 1:1.0.9-1
2022-05-17 22:35:58 status installed libxau6:amd64 1:1.0.9-1
2022-05-17 22:35:58 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-05-17 22:35:58 status unpacked libpsl5:amd64 0.21.0-1.2
2022-05-17 22:35:58 status half-configured libpsl5:amd64 0.21.0-1.2
2022-05-17 22:35:58 status installed libpsl5:amd64 0.21.0-1.2
2022-05-17 22:35:58 configure libicu67:amd64 67.1-7 <none>
2022-05-17 22:35:58 status unpacked libicu67:amd64 67.1-7
2022-05-17 22:35:58 status half-configured libicu67:amd64 67.1-7
2022-05-17 22:35:58 status installed libicu67:amd64 67.1-7
2022-05-17 22:35:58 configure nginx:amd64 1.21.6-1~bullseye <none>
2022-05-17 22:35:58 status unpacked nginx:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 status half-configured nginx:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 status installed nginx:amd64 1.21.6-1~bullseye
2022-05-17 22:35:58 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-05-17 22:35:58 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-05-17 22:35:58 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-05-17 22:35:58 status installed libbrotli1:amd64 1.0.9-2+b2
2022-05-17 22:35:58 configure libnghttp2-14:amd64 1.43.0-1 <none>
2022-05-17 22:35:58 status unpacked libnghttp2-14:amd64 1.43.0-1
